name	team	rush_att	rush_yds	rush_tds	rec_att	rec_yds	rec_tds	fumbles	fpts	pos
J.J. Nelson	ARI	0.0	0.0	0.0	4.3	53.7	0.3	0.0	7.1	WR
James Jones	NYG	0.0	0.0	0.0	4.4	55.5	0.3	0.1	7.0	WR
Myles White	GB	0.0	0.0	0.0	3.2	50.2	0.3	0.0	7.0	WR
Greg Salas	DET	0.1	1.6	0.0	3.9	53.5	0.2	0.0	6.8	WR
Junior Hemingway	KC	0.0	0.0	0.0	5.0	66.0	0.0	0.0	6.6	WR
Lance Moore	DET	0.0	0.0	0.0	4.1	53.0	0.2	0.0	6.6	WR
Duron Carter	IND	0.0	0.0	0.0	3.4	44.5	0.4	0.0	6.5	WR
Josh Morgan	NO	0.0	0.4	0.0	4.6	54.5	0.2	0.0	6.4	WR
Brice Butler	OAK	0.0	0.0	0.0	3.9	49.8	0.2	0.0	6.2	WR
Darren Waller	BAL	0.0	0.0	0.0	3.6	46.0	0.3	0.0	6.2	WR
Isaiah Burse	DEN	0.0	0.0	0.0	4.9	57.8	0.1	0.0	6.2	WR
Vince Mayle	CLE	0.0	0.0	0.0	3.6	47.7	0.2	0.0	6.0	WR
Aaron Dobson	NE	0.0	0.0	0.0	3.6	43.7	0.3	0.0	5.9	WR
Keshawn Martin	HOU	0.0	0.0	0.0	4.2	48.0	0.2	0.0	5.8	WR
Mike Brown	CAR	0.0	0.0	0.0	3.1	48.5	0.2	0.2	5.7	WR
Adam Thielen	MIN	0.0	0.0	0.0	3.5	44.6	0.2	0.0	5.5	WR
Vincent Brown	IND	0.0	0.0	0.0	4.3	46.3	0.1	0.0	5.4	WR
Neal Sterling	JAC	0.0	0.0	0.0	3.1	40.7	0.2	0.0	5.1	WR
Keith Mumphery	HOU	0.0	0.0	0.0	3.0	40.2	0.2	0.0	5.0	WR
Kris Durham	OAK	0.0	0.0	0.0	5.2	49.5	0.0	0.0	5.0	WR
Damaris Johnson	HOU	1.4	8.2	0.0	3.7	38.8	0.0	0.0	5.0	WR
Rodney Smith	FA	0.0	0.0	0.0	4.4	49.8	0.0	0.0	5.0	WR
Chris Owusu	NYJ	0.1	0.5	0.0	3.7	39.7	0.1	0.0	4.8	WR
Josh Bellamy	CHI	0.0	0.0	0.0	2.7	35.3	0.2	0.0	4.7	WR
Dwayne Harris	NYG	0.1	1.4	0.0	2.6	34.6	0.1	0.1	4.3	WR
Marc Mariani	CHI	0.0	0.0	0.0	2.7	33.5	0.1	0.0	4.2	WR
Seyi Ajirotutu	PHI	0.0	0.0	0.0	2.7	32.4	0.2	0.0	4.1	WR
Frankie Hammond	KC	0.0	0.0	0.0	2.3	34.0	0.1	0.0	3.8	WR
Jared Abbrederis	GB	0.0	0.0	0.0	1.6	25.0	0.2	0.0	3.5	WR
Greg Little	CIN	0.0	0.0	0.0	2.5	28.3	0.1	0.0	3.4	WR
Marcus Easley	BUF	0.0	0.0	0.0	2.2	25.6	0.1	0.0	3.4	WR
Chris Harper	NE	0.0	0.0	0.0	1.9	24.7	0.2	0.0	3.4	WR
Lucky Whitehead	DAL	0.0	0.0	0.0	1.6	23.7	0.2	0.0	3.3	WR
Russell Shepard	TB	0.0	0.0	0.0	1.8	26.1	0.1	0.0	3.1	WR
Jalen Saunders	NE	0.0	0.0	0.0	2.9	28.7	0.1	0.1	3.0	WR
Kaelin Clay	TB	0.0	0.0	0.0	1.5	20.8	0.1	0.0	2.6	WR
Tre McBride	TEN	0.0	0.0	0.0	1.5	19.7	0.1	0.0	2.6	WR
Kevin Norwood	CAR	0.0	0.0	0.0	1.4	18.8	0.1	0.0	2.6	WR
Christion Jones	MIA	0.0	0.0	0.0	1.6	19.3	0.1	0.0	2.5	WR
Griff Whalen	IND	0.0	0.0	0.0	1.9	20.2	0.1	0.1	2.4	WR
Mario Alford	CIN	0.0	0.0	0.0	1.4	18.5	0.1	0.0	2.4	WR
Chuck Jacobs	SF	0.0	0.0	0.0	1.2	16.7	0.1	0.0	2.3	WR
Alan Bonner	FA	0.0	0.0	0.0	1.1	14.8	0.1	0.0	2.1	WR
Ryan Broyles	FA	0.0	0.0	0.0	1.0	11.0	0.0	0.0	1.1	WR
Jacoby Ford	TEN	0.0	0.0	0.0	1.5	12.3	0.0	0.1	1.0	WR
